CompTotal,Gender,Manager,YearsCode,Age1stCode,YearsCodePro,Education
54889,Man,IC,16,14,10,Master's
256000,Man,IC,20,10,14,Bachelor's
90000,Man,IC,33,12,13,PhD
70000,Man,IC,5,16,3,Bachelor's
88000,Man,IC,5,17,2,Bachelor's
150000,Man,IC,25,13,19,Master's
90000,Man,IC,9,11,5,Bachelor's
60000,Woman,IC,3,20,2,Master's
82000,Man,IC,13,13,5,Bachelor's
94000,Woman,IC,16,9,9,Bachelor's
55000,Man,IC,5,11,3,Bachelor's
94318,Man,IC,25,18,21,Bachelor's
169345,Man,IC,17,12,9,Bachelor's
148000,Man,IC,18,16,12,Master's
120000,Man,Manager,50,15,45,Master's
85000,Man,IC,4,30,4,Less than bachelor's
55000,Man,IC,5,18,3,Bachelor's
1e+05,Man,IC,12,15,6,Bachelor's
75000,Man,IC,37,13,28,Bachelor's
55000,Woman,IC,2,15,2,Bachelor's
120000,Man,IC,15,15,10,Master's
160000,Man,IC,20,12,10,Bachelor's
226000,Man,Manager,27,11,18,Master's
83000,Man,IC,10,13,4,Bachelor's
90000,Man,IC,10,14,5,Bachelor's
109000,Man,IC,5,20,2,Bachelor's
1e+05,Woman,IC,20,12,9,Bachelor's
83000,Man,Manager,2,22,2,Bachelor's
80000,Man,IC,6,17,2,Bachelor's
116000,Woman,IC,23,20,20,Bachelor's
136000,Man,IC,14,16,4,Less than bachelor's
112000,Man,IC,9,28,9,Less than bachelor's
80000,Man,IC,4,16,3,Bachelor's
110000,Man,IC,13,14,13,Bachelor's
107000,Man,IC,20,12,15,Bachelor's
70000,Man,IC,11,15,5,Bachelor's
113000,Man,IC,7,23,5,Bachelor's
85000,Man,IC,6,18,4,Bachelor's
135000,Man,IC,9,16,4,Bachelor's
90000,Man,IC,9,15,5,Bachelor's
106000,Man,IC,15,18,12,Bachelor's
135000,Man,IC,25,Younger than 5 years,12,Bachelor's
80000,Man,IC,16,18,12,Bachelor's
110000,Man,IC,15,40,10,PhD
116000,Man,IC,19,12,16,Bachelor's
185000,Man,IC,16,9,12,Bachelor's
86500,Man,IC,9,18,5,Bachelor's
120000,Man,IC,8,13,Less than 1 year,Bachelor's
85000,Man,IC,11,17,5,Master's
117000,Man,IC,25,13,5,PhD
70000,Man,IC,3,19,Less than 1 year,PhD
140000,Man,IC,6,19,5,Bachelor's
80000,Man,IC,22,11,2,Bachelor's
75000,Woman,IC,2,14,1,Bachelor's
120000,Man,Manager,5,17,4,Bachelor's
70000,Woman,IC,8,16,1,PhD
95000,Man,IC,20,23,20,Master's
220000,Man,IC,35,11,30,Master's
336000,Man,Manager,15,10,5,Bachelor's
96000,Man,IC,7,12,6,Master's
35000,Woman,IC,6,20,2,Bachelor's
95000,Man,IC,5,30,6,Bachelor's
95000,Woman,IC,11,16,7,Bachelor's
250000,Man,NA,30,13,5,Master's
95000,Man,Manager,12,14,5,Bachelor's
135000,Man,IC,17,9,15,Master's
65000,Man,IC,10,14,3,Less than bachelor's
150000,Man,IC,9,16,4,Bachelor's
45000,Man,IC,3,29,1,Bachelor's
75000,Man,IC,15,15,9,Bachelor's
135000,Man,IC,16,13,15,Bachelor's
60000,Man,IC,2,20,2,Bachelor's
1e+05,Man,IC,3,17,3,Bachelor's
205000,Man,IC,15,8,8,Bachelor's
60000,Man,IC,6,16,1,Bachelor's
188000,Man,IC,12,10,12,Bachelor's
295000,Man,IC,14,14,8,Bachelor's
71000,Man,IC,3,19,Less than 1 year,Bachelor's
80000,Man,Manager,5,14,3,Bachelor's
85000,Man,IC,5,NA,Less than 1 year,Bachelor's
50000,Man,IC,2,29,1,Bachelor's
83000,Man,IC,4,18,2,Bachelor's
95000,Man,IC,17,23,12,Bachelor's
