CompTotal,Gender,Manager,YearsCode,Age1stCode,YearsCodePro,Education
125000,Woman,IC,4,15,4,Bachelor's
70000,Woman,IC,11,26,11,Bachelor's
130000,Man,IC,20,14,12,Less than bachelor's
85000,Man,IC,7,19,5,Bachelor's
1e+05,Man,IC,6,23,3,Less than bachelor's
155000,Man,IC,25,9,15,Bachelor's
125000,Man,IC,19,13,19,Bachelor's
74000,Man,IC,10,13,7,Bachelor's
58000,Man,IC,5,22,2,Bachelor's
135000,Man,IC,37,16,35,Master's
80000,Man,IC,6,19,5,Bachelor's
71500,Man,IC,10,12,6,Bachelor's
80000,Man,IC,8,26,5,Bachelor's
56160,Man,IC,15,5,7,Less than bachelor's
70000,Man,IC,NA,23,28,Bachelor's
83000,Man,IC,3,14,2,Bachelor's
2e+05,Man,IC,22,15,20,Less than bachelor's
77000,Man,IC,8,14,8,Bachelor's
105000,Man,IC,10,15,8,Bachelor's
65000,Man,IC,1,25,Less than 1 year,Bachelor's
107000,Man,IC,13,14,8,Less than bachelor's
124000,Man,IC,20,16,13,Less than bachelor's
70000,Man,IC,8,14,1,Bachelor's
140000,Man,IC,35,10,22,Bachelor's
139000,Man,IC,12,18,10,Less than bachelor's
76000,Man,IC,10,13,5,Bachelor's
93000,Man,IC,12,21,8,Master's
190000,Man,IC,20,17,16,Bachelor's
65000,Man,IC,4,19,1,Bachelor's
125000,Man,IC,6,18,1,Master's
142000,Man,Manager,35,16,30,Bachelor's
60000,Man,Manager,4,25,1,Bachelor's
136000,Man,IC,43,19,43,Bachelor's
66532,Man,IC,30,8,7,Bachelor's
90000,Man,Manager,15,12,8,Less than bachelor's
87000,Man,IC,13,14,5,Bachelor's
48000,Man,IC,7,17,5,Bachelor's
82400,Man,Manager,13,11,2,Less than bachelor's
120000,Man,IC,21,13,17,Master's
133500,Man,IC,11,10,7,Bachelor's
85000,Man,IC,7,15,7,Bachelor's
56000,Man,IC,20,14,12,Less than bachelor's
125000,Man,IC,10,20,6,Bachelor's
45000,Man,IC,1,30,Less than 1 year,Less than bachelor's
135000,Man,IC,26,15,20,Bachelor's
150000,Man,IC,7,19,7,Bachelor's
120000,Man,IC,7,21,6,Master's
75000,Man,IC,4,19,3,Bachelor's
220000,Man,IC,25,17,19,Bachelor's
96000,Man,IC,12,18,10,Bachelor's
180000,Woman,IC,6,9,4,Bachelor's
440000,Man,IC,12,10,4,Bachelor's
230000,Man,IC,20,16,15,Master's
52000,Man,IC,10,9,3,Bachelor's
164000,Man,IC,7,13,7,Less than bachelor's
85000,Man,IC,3,21,1,Master's
155000,Man,IC,20,11,15,Master's
106000,Man,IC,20,8,15,Master's
160000,Man,IC,15,12,11,Bachelor's
110000,Man,IC,14,NA,9,Bachelor's
120000,Man,IC,23,18,20,Master's
180000,Man,Manager,22,13,12,Master's
172000,Man,IC,40,18,36,Bachelor's
95000,Man,IC,13,15,10,Master's
