CompTotal	Education
130000.0	Bachelor's
100000.0	Bachelor's
57000.0	Bachelor's
76500.0	Bachelor's
155000.0	Bachelor's
75000.0	Bachelor's
52000.0	Bachelor's
101000.0	Master's
50000.0	Bachelor's
56000.0	PhD
65000.0	Bachelor's
105000.0	Bachelor's
125000.0	Bachelor's
200000.0	Master's
112000.0	Bachelor's
80000.0	Bachelor's
106000.0	Master's
60000.0	Bachelor's
106000.0	Less than bachelor's
170000.0	Less than bachelor's
200000.0	Master's
58000.0	Bachelor's
171000.0	Master's
144000.0	Bachelor's
140000.0	Bachelor's
85000.0	Bachelor's
125000.0	Less than bachelor's
63000.0	Bachelor's
145000.0	Less than bachelor's
98500.0	Master's
73000.0	Bachelor's
400000.0	Bachelor's
80000.0	Bachelor's
112000.0	Bachelor's
89000.0	Less than bachelor's
120000.0	Bachelor's
110000.0	Less than bachelor's
110000.0	Bachelor's
83000.0	Bachelor's
160000.0	Bachelor's
326000.0	Master's
120000.0	Bachelor's
