company	date	price
GOOGL	2020-03-12	1111.550049
GOOGL	2020-03-13	1214.27002
GOOGL	2020-03-16	1073
GOOGL	2020-03-17	1118.060059
GOOGL	2020-03-18	1091.189941
GOOGL	2020-03-19	1111.670044
GOOGL	2020-03-20	1068.209961
GOOGL	2020-03-23	1054.130005
GOOGL	2020-03-24	1130.01001
GOOGL	2020-03-25	1101.619995
GOOGL	2020-03-26	1162.920044
GOOGL	2020-03-27	1110.26001
GOOGL	2020-03-30	1146.310059
GOOGL	2020-03-31	1161.949951
GOOGL	2020-04-01	1102.099976
GOOGL	2020-04-02	1117.030029
GOOGL	2020-04-03	1092.699951
GOOGL	2020-04-06	1183.189941
GOOGL	2020-04-07	1182.560059
GOOGL	2020-04-08	1207
GOOGL	2020-04-09	1206.569946
GOOGL	2020-04-13	1210.410034
GOOGL	2020-04-14	1265.22998
GOOGL	2020-04-15	1257.300049
GOOGL	2020-04-16	1257.430054
GOOGL	2020-04-17	1279
GOOGL	2020-04-20	1261.150024
GOOGL	2020-04-21	1212.160034
GOOGL	2020-04-22	1258.410034
GOOGL	2020-04-23	1271.170044
GOOGL	2020-04-24	1276.599976
GOOGL	2020-04-27	1270.859985
GOOGL	2020-04-28	1232.589966
GOOGL	2020-04-29	1342.180054
GOOGL	2020-04-30	1346.699951
GOOGL	2020-05-01	1317.319946
GOOGL	2020-05-04	1322.900024
GOOGL	2020-05-05	1349.02002
GOOGL	2020-05-06	1345.430054
GOOGL	2020-05-07	1369.280029
GOOGL	2020-05-08	1384.339966
GOOGL	2020-05-11	1403.589966
GOOGL	2020-05-12	1375.180054
GOOGL	2020-05-13	1348.329956
GOOGL	2020-05-14	1356.859985
GOOGL	2020-05-15	1373.060059
GOOGL	2020-05-18	1385.180054
GOOGL	2020-05-19	1374.400024
GOOGL	2020-05-20	1409.160034
GOOGL	2020-05-21	1406.75
GOOGL	2020-05-22	1413.23999
GOOGL	2020-05-26	1421.369995
GOOGL	2020-05-27	1420.280029
GOOGL	2020-05-28	1418.23999
GOOGL	2020-05-29	1433.52002
GOOGL	2020-06-01	1434.869995
GOOGL	2020-06-02	1442.310059
GOOGL	2020-06-03	1439.25
GOOGL	2020-06-04	1414.300049
GOOGL	2020-06-05	1440.02002
GOOGL	2020-06-08	1448.040039
GOOGL	2020-06-09	1452.079956
GOOGL	2020-06-10	1464.699951
GOOGL	2020-06-11	1401.900024
GOOGL	2020-06-12	1412.920044
GOOGL	2020-06-15	1420.73999
GOOGL	2020-06-16	1446.469971
GOOGL	2020-06-17	1452.540039
GOOGL	2020-06-18	1434.119995
GOOGL	2020-06-19	1424.640015
GOOGL	2020-06-22	1450.660034
GOOGL	2020-06-23	1463.97998
GOOGL	2020-06-24	1432.699951
GOOGL	2020-06-25	1441.099976
GOOGL	2020-06-26	1362.540039
GOOGL	2020-06-29	1397.170044
GOOGL	2020-06-30	1418.050049
GOOGL	2020-07-01	1442
GOOGL	2020-07-02	1469.930054
GOOGL	2020-07-06	1499.650024
GOOGL	2020-07-07	1489.920044
GOOGL	2020-07-08	1503.599976
